City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.7868,-56.1549,35.78,41,0,22.39,GL,1631414830
Barrow,71.2906,-156.7887,44.62,76,20,4.61,US,1631414804
Mar,43.4002,-4.0094,65.01,98,100,0.0,ES,1631414831
Gulmarg,34.049,74.3921,54.37,84,94,1.16,IN,1631414832
Guerrero,17.6667,-100.0,67.69,95,100,3.22,MX,1631414833
Hilo,19.7297,-155.09,82.13,75,75,9.22,US,1631414834
Chokurdakh,70.6333,147.9167,51.76,45,61,14.52,RU,1631414836
Gigmoto,13.7796,124.39,86.92,67,100,11.18,PH,1631414837
Punta,8.9897,125.34,85.66,65,100,7.7,PH,1631414838
Townsville,-19.25,146.8,74.28,73,90,8.05,AU,1631414801
Ponta,38.7333,-28.2667,64.94,74,100,21.12,PT,1631414840
Burgeo,47.6167,-57.6152,57.25,80,2,17.09,CA,1631414841
Cacahuatepec,16.8861,-99.6106,76.6,94,100,1.41,MX,1631414842
Kaitangata,-46.2817,169.8464,62.74,52,92,9.46,NZ,1631414843
Pozo,22.4497,-80.1794,76.51,93,66,8.32,CU,1631414845
Rikitea,-23.1203,-134.9692,74.25,74,80,8.37,PF,1631414845
Saint Paul Harbor,57.79,-152.4072,54.91,71,1,5.75,US,1631414847
Kavieng,-2.5744,150.7967,84.22,68,58,6.73,PG,1631414848
Adré,13.4667,22.2,71.49,75,94,6.04,TD,1631414849
Marshalltown,42.0494,-92.908,79.03,78,1,4.61,US,1631414850
Dikson,73.5069,80.5464,42.33,84,100,9.71,RU,1631414851
Mataura,-46.1927,168.8643,55.47,68,97,12.62,NZ,1631414851
Ushuaia,-54.8,-68.3,42.46,45,20,16.11,AR,1631414751
Haines,59.2286,-135.4441,55.15,76,90,6.91,US,1631414853
Lusambo,-4.9667,23.45,74.08,76,100,1.77,CD,1631414854
Gouré,13.9835,10.2704,83.37,55,88,10.47,NE,1631414855
Faya,18.3851,42.4509,66.72,51,91,5.44,SA,1631414856
Acapulco de Juárez,16.8634,-99.8901,78.46,87,100,1.1,MX,1631414857
eMkhomazi,-30.2067,30.7978,61.68,55,0,7.56,ZA,1631414858
Bintulu,3.1667,113.0333,86.41,79,20,4.61,MY,1631414859
Hithadhoo,-0.6,73.0833,82.69,70,23,9.82,MV,1631414860
Diffa,13.3154,12.6113,83.91,60,100,9.33,NE,1631414861
Ambon City,-3.6954,128.1814,82.54,89,40,5.75,ID,1631414862
Hobart,-42.8794,147.3294,55.06,60,75,3.0,AU,1631414706
Souillac,-20.5167,57.5167,72.36,83,75,17.27,MU,1631414864
Kavaratti,10.5669,72.642,81.77,81,100,19.51,IN,1631414865
Busselton,-33.65,115.3333,56.05,58,13,5.48,AU,1631414865
Padang,-0.9492,100.3543,82.45,68,52,3.6,ID,1631414866
Bluff,-46.6,168.3333,55.8,89,100,20.36,NZ,1631414867
Preetz,54.2333,10.2833,64.24,100,75,9.22,DE,1631414868
Zhangaözen,43.3,52.8,66.63,27,0,8.68,KZ,1631414869
Leshukonskoye,64.8989,45.7622,34.81,93,61,5.19,RU,1631414870
Buala,-8.145,159.5921,85.3,65,94,10.67,SB,1631414871
Abaza,52.655,90.0928,61.34,45,100,5.17,RU,1631414872
Niksar,40.5917,36.9517,55.22,86,8,2.42,TR,1631414873
Port,-7.0349,29.7638,73.13,56,18,6.71,CD,1631414873
Butaritari,3.0707,172.7902,83.97,73,63,23.2,KI,1631414874
Petrykiv,49.5332,25.5809,55.44,52,98,1.12,UA,1631414875
Mayumba,-3.432,10.6554,75.2,87,100,4.03,GA,1631414876
Hermanus,-34.4187,19.2345,55.9,86,100,6.64,ZA,1631414877
Cape,-36.413,-71.9028,47.62,94,100,6.98,CL,1631414878
Thompson,55.7435,-97.8558,50.16,66,75,6.91,CA,1631414879
El Puerto de Santa María,36.5939,-6.233,67.24,91,0,3.44,ES,1631414880
Hasaki,35.7333,140.8333,79.09,81,100,3.53,JP,1631414881
Meridian,43.6121,-116.3915,74.25,51,1,1.99,US,1631414604
Tuktoyaktuk,69.4541,-133.0374,51.8,76,90,6.91,CA,1631414883
Clyde,41.3042,-82.9752,73.74,69,46,17.25,US,1631414884
Sept-Îles,50.2001,-66.3821,54.05,82,1,0.0,CA,1631414885
Vestmannaeyjar,63.4427,-20.2734,49.57,76,100,1.61,IS,1631414886
Payo,-3.7508,103.6372,88.02,57,92,1.9,ID,1631414887
Mehamn,71.0357,27.8492,39.47,81,82,5.08,NO,1631414888
Apatin,45.6711,18.9847,63.88,45,0,1.66,RS,1631414889
Rio,38.3,21.7833,73.78,65,100,8.7,GR,1631414891
Jiayuguan City,39.8167,98.3,67.8,30,100,9.6,CN,1631414892
Barcelona,41.3888,2.159,73.8,86,20,1.01,ES,1631414894
Ekhabi,53.5102,142.9671,54.86,58,93,8.59,RU,1631414895
Carnarvon,-24.8667,113.6333,73.47,28,0,17.27,AU,1631414897
Laiwu,36.1928,117.6569,85.08,62,0,3.69,CN,1631414897
Port,-7.0349,29.7638,73.13,56,18,6.71,CD,1631414899
Bredasdorp,-34.5322,20.0403,49.32,93,95,2.3,ZA,1631414901
Nyagan,62.1406,65.3936,38.35,97,100,13.24,RU,1631414902
Yellowknife,62.456,-114.3525,48.72,87,90,14.97,CA,1631414896
Date,42.4681,140.8681,70.93,83,100,14.03,JP,1631414904
Mnogovershinnyy,53.9353,139.9242,49.89,78,83,8.97,RU,1631414905
Vardø,70.3705,31.1107,42.98,72,99,5.55,NO,1631414906
Estado de Bahia,-12.0,-42.0,65.39,76,0,4.05,BR,1631414906
Bānda,25.4833,80.3333,85.21,71,58,5.28,IN,1631414907
Honningsvåg,70.9821,25.9704,43.77,74,99,11.14,NO,1631414909
Santa,17.486,120.4348,82.71,80,100,12.19,PH,1631414910
Kiryat Gat,31.61,34.7642,74.08,60,81,4.92,IL,1631414821
Luganville,-15.5333,167.1667,77.76,84,71,12.82,VU,1631414912
Mahébourg,-20.4081,57.7,72.25,83,75,17.27,MU,1631414913
Evensk,61.95,159.2333,48.04,45,12,4.79,RU,1631414915
Xining,36.6167,101.7667,68.95,50,20,5.55,CN,1631414830
Alice,27.7523,-98.0697,84.31,54,1,6.91,US,1631414917
Iqaluit,63.7506,-68.5145,37.13,60,40,4.61,CA,1631414918
New,6.6518,-10.5932,73.17,97,100,5.03,LR,1631414919
Bagdarin,54.4333,113.6,48.72,91,100,0.81,RU,1631414919
Torbay,47.6666,-52.7314,59.27,83,1,25.32,CA,1631414920
Port,-7.0349,29.7638,73.13,56,18,6.71,CD,1631414873
Olinda,-8.0089,-34.8553,76.73,73,40,10.36,BR,1631414922
Cidreira,-30.1811,-50.2056,60.53,83,0,11.45,BR,1631414923
Vaini,-21.2,-175.2,73.56,94,90,10.36,TO,1631414924
Sitka,57.0531,-135.33,57.09,88,90,3.44,US,1631414925
Port,-7.0349,29.7638,73.13,56,18,6.71,CD,1631414926
Ucluelet,48.9329,-125.5528,61.05,97,100,0.98,CA,1631414694
Naze,28.3667,129.4833,83.32,82,100,13.73,JP,1631414927
Avarua,-21.2078,-159.775,78.85,78,90,13.8,CK,1631414928
Muisne,0.6,-80.0333,74.43,85,81,9.01,EC,1631414929
Gomel,52.4345,30.9754,53.58,94,89,2.24,BY,1631414930
Ribeira,42.7461,-8.4439,68.4,82,0,2.3,ES,1631414931
Pevek,69.7008,170.3133,29.97,76,100,15.79,RU,1631414931
Whitianga,-36.8333,175.7,63.01,58,32,9.86,NZ,1631414932
Provideniya,64.3833,-173.3,44.83,64,50,4.92,RU,1631414934
Yar-Sale,66.8333,70.8333,42.8,79,100,14.07,RU,1631414934
Diamantino,-14.4086,-56.4461,84.58,39,76,1.39,BR,1631414935
Camacha,33.0833,-16.3333,72.54,94,75,13.8,PT,1631414936
Qaanaaq,77.484,-69.3632,18.25,60,25,8.25,GL,1631414937
Rondonópolis,-16.4708,-54.6356,85.46,32,49,1.74,BR,1631414846
Mahabalipuram,12.6264,80.1722,86.05,63,100,13.44,IN,1631414938
Kamaishi,39.2667,141.8833,79.75,62,0,7.11,JP,1631414939
Mossamedes,-15.1961,12.1522,66.06,97,12,5.23,AO,1631414940
Saint-Philippe,-21.3585,55.7679,69.39,84,41,17.63,RE,1631414941
Coquimbo,-29.9533,-71.3436,56.93,62,75,8.05,CL,1631414943
Kamenka,51.3223,42.7678,60.66,53,100,5.59,RU,1631414943
Smithers,54.7804,-127.1743,57.52,54,75,6.91,CA,1631414944
Porto,41.1496,-8.611,67.19,87,0,1.99,PT,1631414686
Bida,9.0833,6.0167,74.84,95,82,3.36,NG,1631414945
Klaksvík,62.2266,-6.589,50.92,86,100,8.16,FO,1631414946
Krasnoural'sk,58.3638,60.0407,41.97,78,100,10.78,RU,1631414947
Sao,20.5113,76.2129,73.65,88,66,7.99,IN,1631414948
Neyshabur,36.2133,58.7958,66.31,30,0,2.62,IR,1631414949
Cherskiy,68.75,161.3,36.07,50,100,5.57,RU,1631414950
Lagoa,39.05,-27.9833,69.04,74,100,23.26,PT,1631414951
Soma,39.1855,27.6094,64.58,82,4,6.69,TR,1631414952
Kahului,20.8947,-156.47,84.22,64,40,24.16,US,1631414953
Barra de Tecoanapa,16.5167,-98.75,77.52,88,96,2.46,MX,1631414954
Lorengau,-2.0226,147.2712,85.19,69,59,10.76,PG,1631414955
Gorontalo,0.5412,123.0595,82.13,86,93,2.37,ID,1631414956
Stornoway,58.2093,-6.3865,57.92,93,75,3.44,GB,1631414957
Chardara,41.2547,67.9692,68.43,21,0,7.0,KZ,1631414958
Ahipara,-35.1667,173.1667,59.85,58,26,6.98,NZ,1631414959
Oranjemund,-28.55,16.4333,55.24,90,10,6.11,NA,1631414960
Airai,-8.9266,125.4092,77.36,39,17,3.87,TL,1631414961
Leningradskiy,69.3833,178.4167,28.78,92,100,21.97,RU,1631414962
Albany,42.6001,-73.9662,62.67,83,9,5.73,US,1631414458
Palu,-0.8917,119.8707,85.12,75,97,2.13,ID,1631414963
Nome,64.5011,-165.4064,48.16,76,90,5.75,US,1631414928
Jinchang,38.4953,102.1739,74.1,24,100,9.75,CN,1631414964
Severo-Kuril'sk,50.6789,156.125,49.37,75,100,3.2,RU,1631414966
Danielskuil,-28.1887,23.5395,55.85,29,1,11.9,ZA,1631414967
Arraial,-22.8362,-46.646,69.21,69,86,3.56,BR,1631414968
Wood,41.3667,-83.6166,75.29,76,63,15.66,US,1631414969
Kapaa,22.0752,-159.319,84.18,68,20,5.99,US,1631414969
Yumen,40.2833,97.2,68.2,26,100,16.28,CN,1631414970
Gaza,31.5,34.4667,75.18,56,90,6.6,PS,1631414971
Kushima,31.4583,131.2333,76.51,95,100,4.23,JP,1631414972
Mount,53.6597,-1.8537,58.06,88,81,1.99,GB,1631414973
Vila,42.0304,-8.1588,58.08,86,61,3.85,PT,1631414973
Biak,-0.9131,122.8766,79.74,81,80,2.1,ID,1631414974
Grindavik,63.8424,-22.4338,46.87,81,0,4.61,IS,1631414975
Katsuura,35.1333,140.3,77.04,87,100,4.81,JP,1631414976
Nanortalik,60.1432,-45.2371,39.87,75,100,12.39,GL,1631414977
Tautira,-17.7333,-149.15,82.42,65,68,11.86,PF,1631414978
Saint-François,46.4154,3.9054,53.04,100,90,0.0,FR,1631414979
Chapais,49.7834,-74.8492,58.78,96,81,12.3,CA,1631414980
Lebu,-37.6167,-73.65,48.94,78,100,18.25,CL,1631414889
Bengkulu,-3.8004,102.2655,82.69,71,79,1.97,ID,1631414981
Chlórakas,34.8042,32.4083,72.63,85,75,6.91,CY,1631414983
George Town,5.4112,100.3354,87.73,78,20,2.3,MY,1631414725
Kuusamo,65.9667,29.1833,37.44,87,75,4.61,FI,1631414985
Mogadishu,2.0371,45.3438,76.75,85,100,16.42,SO,1631414790
Hamilton,39.1834,-84.5333,74.77,72,1,1.01,US,1631414725
Manokwari,-0.8667,134.0833,83.48,70,51,8.12,ID,1631414987
Nikolskoye,59.7035,30.7861,55.29,98,100,3.18,RU,1631414988
Qingdao,36.0986,120.3719,80.2,74,75,4.47,CN,1631414989
Seaford,50.7714,0.1027,57.11,87,29,6.04,GB,1631414982
Pervomayskiy,53.2485,40.2871,61.57,77,100,5.41,RU,1631414991
Gulariyā,28.2333,81.3333,83.26,77,89,2.8,NP,1631414993
Pangody,65.85,74.4859,43.45,71,100,18.07,RU,1631414994
Pangnirtung,66.1451,-65.7125,32.76,51,2,5.32,CA,1631414995
Norman,35.2226,-97.4395,84.74,55,0,4.0,US,1631414996
Paamiut,61.994,-49.6678,42.1,95,100,12.21,GL,1631414997
Mīnāb,27.1467,57.0801,78.3,36,0,3.29,IR,1631414998
Hong Kong,22.2855,114.1577,92.97,76,74,7.43,HK,1631414864
Dalby,-27.1833,151.2667,80.98,26,1,5.01,AU,1631415000
Rocha,-34.4833,-54.3333,50.67,97,23,7.25,UY,1631415001
Kozhva,65.1073,57.0459,37.96,92,100,7.67,RU,1631415002
Bulgan,48.8125,103.5347,51.73,74,0,3.42,MN,1631415002
Cabedelo,-6.9811,-34.8339,74.07,81,42,11.41,BR,1631415004
Punta,8.9897,125.34,85.66,65,100,7.7,PH,1631415004
Mareeba,-17.0,145.4333,79.45,71,83,6.24,AU,1631415005
Koulikoro,14.0,-7.75,73.18,70,31,6.24,ML,1631415006
Esperance,-33.8667,121.9,55.24,59,94,7.49,AU,1631415007
Fortuna,40.5982,-124.1573,61.14,49,1,1.01,US,1631414784
Mys,62.0589,48.6201,34.52,97,5,4.36,RU,1631415009
Karratha,-20.7377,116.8463,82.98,28,0,4.83,AU,1631415009
Castro,-24.7911,-50.0119,57.4,92,53,2.73,BR,1631415010
Svetlaya,46.5389,138.3297,57.29,92,98,23.85,RU,1631415011
Anadyr,64.75,177.4833,37.9,87,75,17.9,RU,1631415012
Amuntai,-2.4177,115.2494,87.13,66,86,2.53,ID,1631415012
Atuona,-9.8,-139.0333,77.88,77,6,18.34,PF,1631415034
Sikonge,-5.6333,32.7667,64.45,52,43,6.67,TZ,1631415035
Kamina,-8.7386,24.9906,71.28,31,100,6.08,CD,1631415036
Maniitsoq,65.4167,-52.9,38.34,42,88,10.42,GL,1631415036
Geraldton,-28.7667,114.6,66.61,42,0,12.66,AU,1631415037
Dwārka,22.2394,68.9678,81.63,85,100,15.5,IN,1631415038
Vila,42.0304,-8.1588,58.08,86,61,3.85,PT,1631415040
Broome,42.2506,-75.833,65.91,64,19,1.01,US,1631415041
Mount,53.6597,-1.8537,58.06,88,81,1.01,GB,1631415042
Pindushi,62.9152,34.58,40.39,87,30,4.21,RU,1631415043
Morrinhos,-17.7311,-49.0994,75.42,27,43,1.81,BR,1631415044
Sobolevo,54.4299,31.8996,54.68,82,100,4.81,RU,1631415046
Kalmunai,7.4167,81.8167,83.35,61,99,1.45,LK,1631415047
Champerico,14.3,-91.9167,83.35,90,100,11.01,GT,1631415047
Vaitape,-16.5167,-151.75,77.25,74,63,17.31,PF,1631415048
Nouadhibou,20.931,-17.0347,73.38,94,40,33.38,MR,1631415049
Kruisfontein,-34.0033,24.7314,58.89,95,90,2.51,ZA,1631415050
Deniliquin,-35.5333,144.9667,59.0,31,96,16.89,AU,1631415051
Sedam,17.1773,77.2824,75.79,84,100,13.85,IN,1631415052
Sola,-13.8833,167.55,78.89,78,21,16.08,VU,1631415053
Nisia,39.3942,21.6373,67.44,77,100,1.9,GR,1631415055
Caravelas,-17.7125,-39.2481,73.31,82,1,8.16,BR,1631415056
Medicina,44.4787,11.6381,68.41,69,1,1.9,IT,1631415057
Vilcún,-38.65,-72.2333,45.34,97,100,8.55,CL,1631415058
Shubarkuduk,49.1447,56.4872,48.09,55,0,4.85,KZ,1631415059
Celldömölk,47.2571,17.1503,63.59,49,8,3.27,HU,1631415060
Lompoc,34.6391,-120.4579,69.1,86,90,11.5,US,1631414952
Dunedin,-45.8742,170.5036,60.35,53,72,18.63,NZ,1631415062
Rome,43.2128,-75.4557,69.84,73,1,5.75,US,1631414779
Shenjiamen,29.9576,122.298,79.32,86,100,12.39,CN,1631415064
Jamestown,42.097,-79.2353,69.51,69,20,5.01,US,1631415065
Piteå,65.3172,21.4794,49.08,86,100,3.76,SE,1631415066
Kachīry,53.0675,76.1036,43.03,84,57,16.24,KZ,1631415067
Havelock,34.8791,-76.9013,72.95,93,0,2.48,US,1631415068
San,13.3034,-4.8956,76.39,75,92,8.43,ML,1631415069
Kijini,-5.85,39.3167,74.88,82,75,9.48,TZ,1631415069
